"Code","Entity","region","continent","pop","per_cap_beef_kg_co2eq","per_cap_pork_kg_co2eq","per_cap_sheep_goat_kg_co2eq","per_cap_poultry_kg_co2eq","total_beef_kg_co2eq","total_pork_kg_co2eq","total_sheep_goat_kg_co2eq","total_poultry_kg_co2eq","impute_flag_per_cap_beef_kg_co2eq","impute_flag_per_cap_pork_kg_co2eq","impute_flag_per_cap_sheep_goat_kg_co2eq","impute_flag_per_cap_poultry_kg_co2eq","impute_per_cap_poultry_kg_co2eq"
"LUX","Luxembourg","Western Europe","Europe",639330,2036.81346558,422.8418526,44.088508872,185.84919822,1302195952.94926,270335481.622758,28187106.3771358,118818967.897993,"","","","",""
"LVA","Latvia","Northern Europe","Europe",1873926,329.95723776,528.8358766,13.1075590884,250.1050104,618315446.726646,990999298.893532,24562595.7722891,468678281.71883,"","","","",""
"MAC","Macao","East Asia","Asia",686616,900.24049959,670.27364044,44.486010744,380.4851442,618119530.866488,460220605.904351,30544806.7530023,261247187.770027,"","","","",""
"MAR","Morocco","North Africa","Africa",37076588,515.186287137,0.24619992614,199.79156028,172.72496052,19101349711.4282,9128253.22712321,7407589366.37873,6404052198.5163,"","","","",""
"MDA","Moldova","Southeast Europe","Europe",3061509,175.529563323,296.62723795,3.98796172032,243.36480714,537385337.879434,908126958.629067,12209180.6984152,745063547.342374,"","","","",""
"MDG","Madagascar","East Africa","Africa",28915652,79.004093361,8.2476995076,6.3551992056,30.300897039,2284454870.20219,238487608.762333,183764728.619806,876170194.067554,"","","","",""
"MDV","Maldives","South Asia","Asia",521469,618.0802776,8.1244601584,46.074401628,173.70900939,322309704.279794,4236654.11434069,24026372.1425515,90583863.4175939,"","","","",""
"MEX","Mexico","North America","Americas",126705136,1012.44756639,249.2775,33.3648011916,379.6989,128282306592.314,31584739539.24,4227491672.59464,48109800763.5504,"","","","",""
"MKD","North Macedonia","Southeast Europe","Europe",2103329,555.02059917,191.54369848,17.0796087384,163.05247896,1167390921.83164,402879415.78024,35924036.3681301,342953007.518458,"","","","",""
"MLI","Mali","West Africa","Africa",21904990,171.950013693,0.8616996307,34.9535857008,26.747688156,3766563330.44503,18875521.7934872,765657945.240167,585907841.580298,"","","","",""
"MLT","Malta","Southern Europe","Europe",526751,1153.19217552,303.44090912,33.3647348592,239.24834598,607445131.647336,159837802.319869,17574907.4518185,126024305.493311,"","","","",""
"MMR","Myanmar","Southeast Asia","Asia",53798088,172.613960166,61.42688769,8.738398014,120.11788026,9286301019.03896,3304649109.51274,470109105.336197,6462112292.60094,"","","","",""
"MNE","Montenegro","Southeast Europe","Europe",627856,829.88024481,683.4555085,73.482468696,182.30004492,521045290.985427,429111641.744776,46136408.8655958,114458177.003292,"","","","",""
"MNG","Mongolia","East Asia","Asia",3347782,1759.99790415,27.328185228,2573.0600112,53.594065455,5892089303.5511,91488806.5989643,8614043990.41516,179421247.637071,"","","","",""
"MOZ","Mozambique","East Africa","Africa",32077074,49.7924960166,47.885895076,3.57479984112,55.666794078,1597197579.36918,1536039399.90909,114669119.038794,1785627872.98277,"","","","",""
"MRT","Mauritania","West Africa","Africa",4614981,460.081611204,18.588097538,503.64844812,74.518327275,2123267894.15585,85783716.9640168,2324328018.75329,343900664.525907,"","*","","",""
"MUS","Mauritius","Africa Islands","Africa",1298922,418.25314938,43.330801156,105.65422686,404.0740494,543278217.298968,56283330.8991538,137236599.661445,524860672.394747,"","","","",""
"MWI","Malawi","East Africa","Africa",19889742,203.153380083,192.65148769,131.075988084,53.495396052,4040668316.27881,3831788386.07028,2607067585.38583,1064009625.6621,"","","","",""
"MYS","Malaysia","Southeast Asia","Asia",33573872,490.6221,89.2475,38.9256,490.1442,16472083585.7712,2996384141.32,1306883111.9232,16456038632.3424,"","","","",""
"NAM","Namibia","Southern Africa","Africa",2530150,568.2984,75.9527,159.2772,133.24499013,1437880196.76,192171723.905,402995207.58,337129811.777419,"","","","",""
"NER","Niger","Central Africa","Africa",25252722,183.236386722,0.8617,79.042796028,9.5738997039,4627217534.17516,21760270.5474,1996045754.19779,241767027.678469,"","","","",""
"NGA","Nigeria","West Africa","Africa",213401328,104.232293361,18.464998769,76.262392056,11.153099013,22243309823.723,3940455258.82297,16274495741.207,2380086140.68969,"","","","",""
"NIC","Nicaragua","Central America","Americas",6850546,153.36076722,75.337133526,0.39719964252,225.2332026,1050604990.4359,516100498.728005,2721034.42226682,1542970415.13862,"","","","",""
"NIU","Niue","Oceania Islands","Oceania",1957,462.024162687,175.7757302325,36.541844913,307.780093845,904181.286378459,343993.104065002,71512.390494741,602325.643654665,"*","*","*","*","*"
"NLD","Netherlands","Western Europe","Europe",17501696,1105.39369917,388.74987386,33.762007944,120.61141974,19346264483.1888,6803782112.33607,590892399.385473,2110904402.41788,"","","","",""
"NOR","Norway","Northern Europe","Europe",5403021,1274.68780083,340.24832614,187.47836028,214.47506052,6887164956.32831,1838368851.34927,1012949517.63841,1158813255.96583,"","","","",""
"NPL","Nepal","South Asia","Asia",30034988,416.265333195,12.925501231,97.314011916,74.715905922,12502524287.3278,388217274.36707,2922825180.12892,2244091337.7764,"","","","",""
"NRU","Nauru","Oceania Islands","Oceania",12533,1846.23114486,456.1086428,171.275511756,528.4551972,23138814.9385304,5716409.6202124,2146595.98883795,6623128.9865076,"","","","",""
"NZL","New Zealand","Oceania Main","Oceania",5129730,1171.1196,335.2013,479.8176,238.1631,6007527345.708,1719492164.649,2461334737.248,1221712398.963,"","","","",""
"OMN","Oman","West Asia","Asia",4520474,755.51760249,0,488.5556028,201.54523221,3415297678.59838,0,2208502900.01173,911079982.029267,"","","","",""
"OWID_WRL","World",NA,NA,7909295104,620.766417,171.00197686,78.541327056,167.41199874,4909824782705.72,1352505098353.12,621206533545.684,1324110901985.14,"","","","",""
"PAK","Pakistan","South Asia","Asia",231402112,641.99136639,0,99.300007944,63.365405922,148558158068.412,0,22978231559.8584,14662888758.0881,"","","","",""
"PAN","Panama","Central America","Americas",4351264,945.3949278,154.86000927,0.39720055608,563.9725896,4113662915.11874,673836783.376217,1728324.48045089,2453993626.11325,"","","","",""
"PER","Peru","South America","Americas",33715464,281.493613278,57.857003693,30.584403972,426.08795922,9490687784.70433,1950675725.15921,1031167371.07942,14365753249.9154,"","","","",""
"PHL","Philippines","Southeast Asia","Asia",113880336,239.667880083,169.26248769,10.7243992056,151.01099013,27293458712.2597,19275668970.3331,1221298184.93186,17197182295.6971,"","","","",""
"PLW","Palau","Oceania Islands","Oceania",18050,462.024162687,175.7757302325,36.541844913,307.780093845,8339536.13650035,3172751.93069662,659580.30067965,5555430.69390225,"*","*","*","*","*"
"PNG","Papua New Guinea","Oceania Islands","Oceania",9949438,65.7261165975,112.39032462,61.963211916,39.97350987,653937922.067597,1118220566.60656,616499135.239103,397713958.093953,"","","","",""
"POL","Poland","Central Europe","Europe",38307724,112.863019917,691.57589848,0.79440011916,308.63495922,4323525416.78694,26492698644.0239,30431660.5103484,11823102834.551,"","","","",""
"PRK","North Korea","East Asia","Asia",25971910,53.112,54.2871,22.6404,18.9504,1379420083.92,1409939675.361,588014431.164,492178083.264,"","","","",""
